Estacion,Latitud,Longitud,clipped_Hansen_GFC-2022-v1.10_lossyear_10N_080W,clipped_Hansen_GFC-2022-v1.10_treecover2000_10N_080W,resampled_clipped_wc2.1_30s_bio_1,resampled_clipped_wc2.1_30s_bio_10,resampled_clipped_wc2.1_30s_bio_11,resampled_clipped_wc2.1_30s_bio_12,resampled_clipped_wc2.1_30s_bio_13,resampled_clipped_wc2.1_30s_bio_14,resampled_clipped_wc2.1_30s_bio_15,resampled_clipped_wc2.1_30s_bio_16,resampled_clipped_wc2.1_30s_bio_17,resampled_clipped_wc2.1_30s_bio_18,resampled_clipped_wc2.1_30s_bio_19,resampled_clipped_wc2.1_30s_bio_2,resampled_clipped_wc2.1_30s_bio_3,resampled_clipped_wc2.1_30s_bio_4,resampled_clipped_wc2.1_30s_bio_5,resampled_clipped_wc2.1_30s_bio_6,resampled_clipped_wc2.1_30s_bio_7,resampled_clipped_wc2.1_30s_bio_8,resampled_clipped_wc2.1_30s_bio_9,resampled_clipped_wc2.1_30s_elev
TA9_10,5.247638888888889,-76.1008471790886,0,97,17.033333,17.283333,16.75,2963.0,399.0,124.0,31.417236,886.0,514.0,830.0,886.0,7.5,90.36143,22.29283,21.2,12.9,8.300001,16.75,17.083334,1907
TA9_11,5.246947905883263,-76.100737738132,0,90,17.033333,17.283333,16.75,2963.0,399.0,124.0,31.417236,886.0,514.0,830.0,886.0,7.5,90.36143,22.29283,21.2,12.9,8.300001,16.75,17.083334,1907
TA9_12,5.246324561108591,-76.10042012810548,0,90,17.033333,17.283333,16.75,2963.0,399.0,124.0,31.417236,886.0,514.0,830.0,886.0,7.5,90.36143,22.29283,21.2,12.9,8.300001,16.75,17.083334,1907
TA9_13,5.2458298718945136,-76.09992543889142,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_14,5.245512261868009,-76.09930209411674,0,99,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_15,5.24540282091139,-76.09861111111111,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_16,5.245512261868009,-76.09792012810549,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_17,5.2458298718945136,-76.0972967833308,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_18,5.246324561108591,-76.09680209411674,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_19,5.246947905883263,-76.09648448409023,0,90,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA9_20,5.247638888888889,-76.09637504313362,0,95,18.3375,18.633333,18.066666,3066.0,418.0,162.0,31.792627,992.0,555.0,875.0,992.0,7.758333,92.361115,22.676077,22.5,14.1,8.4,18.066666,18.366667,1667
TA10_1,5.249829871894515,-76.14731781742356,0,90,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
TA10_2,5.250453216669187,-76.14763542745007,0,89,17.833334,18.116667,17.55,2114.0,234.0,101.0,25.820887,642.0,373.0,626.0,628.0,7.416667,90.44716,22.796864,21.9,13.7,8.2,18.016666,17.933334,1734
TA10_3,5.250947905883264,-76.14813011666413,0,89,17.833334,18.116667,17.55,2114.0,234.0,101.0,25.820887,642.0,373.0,626.0,628.0,7.416667,90.44716,22.796864,21.9,13.7,8.2,18.016666,17.933334,1734
TA10_4,5.251265515909769,-76.14875346143882,0,91,17.833334,18.116667,17.55,2114.0,234.0,101.0,25.820887,642.0,373.0,626.0,628.0,7.416667,90.44716,22.796864,21.9,13.7,8.2,18.016666,17.933334,1734
TA10_5,5.251374956866388,-76.14944444444444,0,95,17.833334,18.116667,17.55,2114.0,234.0,101.0,25.820887,642.0,373.0,626.0,628.0,7.416667,90.44716,22.796864,21.9,13.7,8.2,18.016666,17.933334,1734
TA10_6,5.251265515909769,-76.15013542745007,0,89,17.566666,17.833332,17.3,2279.0,277.0,123.0,25.307436,721.0,407.0,672.0,665.0,7.333333,90.53497,21.672495,21.6,13.5,8.1,17.316666,17.516666,1790
TA10_7,5.250947905883264,-76.15075877222475,0,89,17.566666,17.833332,17.3,2279.0,277.0,123.0,25.307436,721.0,407.0,672.0,665.0,7.333333,90.53497,21.672495,21.6,13.5,8.1,17.316666,17.516666,1790
TA10_8,5.250453216669187,-76.15125346143881,0,89,17.566666,17.833332,17.3,2279.0,277.0,123.0,25.307436,721.0,407.0,672.0,665.0,7.333333,90.53497,21.672495,21.6,13.5,8.1,17.316666,17.516666,1790
TA10_9,5.249829871894515,-76.15157107146533,0,90,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_10,5.249138888888889,-76.15168051242193,0,95,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_11,5.248447905883263,-76.15157107146533,0,95,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_12,5.247824561108591,-76.15125346143881,0,99,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_13,5.247329871894514,-76.15075877222475,0,89,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_14,5.247012261868009,-76.15013542745007,0,89,16.241667,16.466667,15.966666,2664.0,307.0,122.0,28.314787,811.0,510.0,702.0,796.0,7.133333,90.29535,21.302313,20.2,12.3,7.9000006,15.983334,16.366667,2026
TA10_15,5.24690282091139,-76.14944444444444,0,90,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
TA10_16,5.247012261868009,-76.14875346143882,0,90,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
TA10_17,5.247329871894514,-76.14813011666413,0,90,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
TA10_18,5.247824561108591,-76.14763542745007,0,90,16.729166,16.966667,16.449999,2485.0,373.0,123.0,37.646206,848.0,397.0,685.0,814.0,7.2416663,89.4033,21.474976,20.8,12.7,8.099999,16.466667,16.816666,1938
